"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"func@0x2b340","0.0100066","[Unknown]","func@0x2b340","[Unknown]","0"
"H5P_peek","0.0100063","[Unknown]","H5P_peek","[Unknown]","0"
"func@0x2a3851","0.0100062","[Unknown]","func@0x2a3851","[Unknown]","0"
"func@0x4e730","0.0100057","[Unknown]","func@0x4e730","[Unknown]","0"
"NC4_HDF5_inq_var_all","0.0100054","[Unknown]","NC4_HDF5_inq_var_all","[Unknown]","0"
"func@0x2a9930","0.0100052","[Unknown]","func@0x2a9930","[Unknown]","0"
"func@0x294030","0.0100052","[Unknown]","func@0x294030","[Unknown]","0"
"func@0x4cc30","0.0100051","[Unknown]","func@0x4cc30","[Unknown]","0"
"H5S_get_select_npoints","0.010005","[Unknown]","H5S_get_select_npoints","[Unknown]","0"
"__GI___pthread_mutex_unlock","0.0100049","[Unknown]","__GI___pthread_mutex_unlock","pthread_mutex_unlock.c","0"
"H5CX_set_dxpl","0.0100048","[Unknown]","H5CX_set_dxpl","[Unknown]","0"
"H5FL_arr_malloc","0.0100047","[Unknown]","H5FL_arr_malloc","[Unknown]","0"
"func@0x4fdf0","0.0100047","[Unknown]","func@0x4fdf0","[Unknown]","0"
"func@0xbc820","0.0100047","[Unknown]","func@0xbc820","[Unknown]","0"
"func@0x2926f0","0.0100041","[Unknown]","func@0x2926f0","[Unknown]","0"
"func@0xb5c50","0.0100039","[Unknown]","func@0xb5c50","[Unknown]","0"
"for__characterize_LUB_buffer","0.0100037","[Unknown]","for__characterize_LUB_buffer","[Unknown]","0"
"H5Screate_simple","0.0100036","[Unknown]","H5Screate_simple","[Unknown]","0"
"func@0x50390","0.0100035","[Unknown]","func@0x50390","[Unknown]","0"
"func@0x2a5110","0.0100035","[Unknown]","func@0x2a5110","[Unknown]","0"
"func@0x2a9be0","0.0100032","[Unknown]","func@0x2a9be0","[Unknown]","0"
"func@0x2b8b49","0.0100032","[Unknown]","func@0x2b8b49","[Unknown]","0"
"H5P_is_fill_value_defined","0.0100032","[Unknown]","H5P_is_fill_value_defined","[Unknown]","0"
"func@0x2536a0","0.0100032","[Unknown]","func@0x2536a0","[Unknown]","0"
"NC_check_id","0.0100031","[Unknown]","NC_check_id","[Unknown]","0"
"func@0x291d10","0.010003","[Unknown]","func@0x291d10","[Unknown]","0"
"func@0x4fb90","0.0100029","[Unknown]","func@0x4fb90","[Unknown]","0"
"func@0x2a7eb0","0.0100029","[Unknown]","func@0x2a7eb0","[Unknown]","0"
"H5FL_seq_free","0.0100028","[Unknown]","H5FL_seq_free","[Unknown]","0"
"H5P_cmp_class","0.0100025","[Unknown]","H5P_cmp_class","[Unknown]","0"
